SubID,mean_sts_score,SPANE_P_pre,SPANE_N_pre,SPANE_Balance_pre,SPANE_P_post,SPANE_N_post,SPANE_Balance_post,SPANE_P_change,SPANE_N_change,SPANE_Balance_change,Group
811602,0.5889616,23.0,15.0,8.0,13.0,12.0,1.0,-10.0,-3.0,-7.0,exploit
819141,0.56450504,26.0,16.0,10.0,25.0,7.0,18.0,-1.0,-9.0,8.0,exploit
825848,0.5765145,24.0,10.0,14.0,23.0,6.0,17.0,-1.0,-4.0,3.0,control
828627,0.5820385,21.0,14.0,7.0,18.0,6.0,12.0,-3.0,-8.0,5.0,exploit
832427,0.5844035,20.0,16.0,4.0,18.0,12.0,6.0,-2.0,-4.0,2.0,exploit
835074,0.5623928,24.0,12.0,12.0,22.0,6.0,16.0,-2.0,-6.0,4.0,control
840490,0.5863234,19.0,18.0,1.0,20.0,12.0,8.0,1.0,-6.0,7.0,exploit
859923,0.56833464,19.0,14.0,5.0,13.0,10.0,3.0,-6.0,-4.0,-2.0,exploit
861963,0.567373,22.0,14.0,8.0,23.0,6.0,17.0,1.0,-8.0,9.0,exploit
865552,0.55477667,16.0,18.0,-2.0,16.0,13.0,3.0,0.0,-5.0,5.0,exploit
869923,0.57764715,19.0,17.0,2.0,24.0,10.0,14.0,5.0,-7.0,12.0,explore
879404,0.5800195,27.0,13.0,14.0,29.0,10.0,19.0,2.0,-3.0,5.0,control
884325,0.59318525,23.0,8.0,15.0,18.0,6.0,12.0,-5.0,-2.0,-3.0,explore
902133,0.56925315,22.0,12.0,10.0,23.0,8.0,15.0,1.0,-4.0,5.0,control
903981,0.54844356,24.0,12.0,12.0,17.0,8.0,9.0,-7.0,-4.0,-3.0,explore
910349,0.5676011,25.0,12.0,13.0,23.0,6.0,17.0,-2.0,-6.0,4.0,exploit
911655,0.58007765,19.0,12.0,7.0,21.0,8.0,13.0,2.0,-4.0,6.0,explore
916157,0.5905336,18.0,17.0,1.0,14.0,7.0,7.0,-4.0,-10.0,6.0,exploit
921274,0.5760182,18.0,19.0,-1.0,19.0,6.0,13.0,1.0,-13.0,14.0,explore
923365,0.565835,19.0,12.0,7.0,15.0,11.0,4.0,-4.0,-1.0,-3.0,exploit
924497,0.5748932,26.0,14.0,12.0,28.0,10.0,18.0,2.0,-4.0,6.0,explore
925154,0.59333587,23.0,12.0,11.0,22.0,12.0,10.0,-1.0,0.0,-1.0,explore
928513,0.56118673,24.0,17.0,7.0,30.0,6.0,24.0,6.0,-11.0,17.0,exploit
931415,0.56973463,22.0,19.0,3.0,16.0,6.0,10.0,-6.0,-13.0,7.0,explore
932208,0.61775523,21.0,15.0,6.0,23.0,11.0,12.0,2.0,-4.0,6.0,exploit
939559,0.62311447,22.0,17.0,5.0,20.0,6.0,14.0,-2.0,-11.0,9.0,explore
942298,0.59318364,24.0,16.0,8.0,26.0,13.0,13.0,2.0,-3.0,5.0,explore
944735,0.5845974,24.0,12.0,12.0,27.0,12.0,15.0,3.0,0.0,3.0,exploit
947980,0.5615509,24.0,16.0,8.0,27.0,7.0,20.0,3.0,-9.0,12.0,control
951397,0.57881176,25.0,19.0,6.0,19.0,12.0,7.0,-6.0,-7.0,1.0,explore
952103,0.5739186,23.0,18.0,5.0,23.0,6.0,17.0,0.0,-12.0,12.0,exploit
953646,0.5854392,26.0,17.0,9.0,11.0,9.0,2.0,-15.0,-8.0,-7.0,explore
953732,0.6060749,23.0,13.0,10.0,20.0,6.0,14.0,-3.0,-7.0,4.0,exploit
960096,0.57126933,23.0,14.0,9.0,19.0,6.0,13.0,-4.0,-8.0,4.0,control
963934,0.57673824,24.0,12.0,12.0,25.0,7.0,18.0,1.0,-5.0,6.0,explore
966678,0.5785036,20.0,18.0,2.0,23.0,6.0,17.0,3.0,-12.0,15.0,explore
976819,0.5735777,24.0,12.0,12.0,18.0,12.0,6.0,-6.0,0.0,-6.0,control
977710,0.5836041,22.0,13.0,9.0,22.0,12.0,10.0,0.0,-1.0,1.0,control
981044,0.58003104,17.0,17.0,0.0,17.0,6.0,11.0,0.0,-11.0,11.0,exploit
981471,0.57912487,20.0,15.0,5.0,24.0,6.0,18.0,4.0,-9.0,13.0,explore
989044,0.5749831,25.0,10.0,15.0,21.0,6.0,15.0,-4.0,-4.0,0.0,control
